"post_title","post_name","post_parent","ID","post_content","post_excerpt","post_status","post_password","menu_order","post_date","post_author","comment_status","sku","parent_sku","children","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","sold_individually","low_stock_amount","manage_stock","tax_status","upsell_ids","crosssell_ids","purchase_note","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","product_page_url","meta:total_sales","meta:_aioseo_title","meta:_aioseo_description","meta:_aioseo_keywords","meta:_aioseo_og_title","meta:_aioseo_og_description","meta:_aioseo_twitter_title","meta:_aioseo_og_article_tags","meta:_aioseo_twitter_description","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","tax:fb_product_set","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size"
"Bomber Jacket","bomber-jacket","","7158","This is a Bomber Jacket made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","8","2023-03-15 15:19:50","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/No-Name-3.jpg ! alt :  ! title : No Name 3 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-6_064.jpg ! alt :  ! title : SHOT 6_064 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-6_039.jpg ! alt :  ! title : SHOT 6_039 ! desc :  ! caption : ","","https://reanaldobelle.com/product/bomber-jacket/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Puffer Gilet","puffer-gilet","","7141","This is a Puffer Gilet made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","9","2023-03-15 15:13:22","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/Rectangle-16-1.png ! alt :  ! title : Rectangle 16 (1) ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/pg2.jpg ! alt :  ! title : pg2 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/pg.jpg ! alt :  ! title : pg ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/pg3.jpg ! alt :  ! title : pg3 ! desc :  ! caption : ","","https://reanaldobelle.com/product/puffer-gilet/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Tartan Gilet Scuba","tartan-gilet-scuba","","7132","This is a Tartan Gilet Scuba made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","10","2023-03-15 15:06:36","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/Rectangle-11-15-1.png ! alt :  ! title : Rectangle 11 (15) ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/tgs.jpg ! alt :  ! title : tgs ! desc :  ! caption : ","","https://reanaldobelle.com/product/tartan-gilet-scuba/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Sheepskin Gilet","sheepskin-gilet","","7113","This is a Sheepskin Gilet made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","11","2023-03-15 14:54:55","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/Rectangle-15.png ! alt :  ! title : Rectangle 15 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/sheepskin2.jpg ! alt :  ! title : sheepskin2 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/sheepskin.jpg ! alt :  ! title : sheepskin ! desc :  ! caption : ","","https://reanaldobelle.com/product/sheepskin-gilet/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Handmade Hoodie","handmade-hoodie","","7104","This is a Handmade Hoodie made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","12","2023-03-15 14:49:45","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/Rectangle-14-5.png ! alt :  ! title : Rectangle 14 (5) ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/handmade-hoodie.jpg ! alt :  ! title : handmade hoodie ! desc :  ! caption : ","","https://reanaldobelle.com/product/handmade-hoodie/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Biker Bomber Scuba","biker-bomber-scuba","","7095","This is a Biker Bomber Scuba from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","13","2023-03-15 14:42:39","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/Rectangle-11-14.png ! alt :  ! title : Rectangle 11 (14) ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/bomber-scuba.jpg ! alt :  ! title : bomber scuba ! desc :  ! caption : ","","https://reanaldobelle.com/product/biker-bomber-scuba/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Rabbit Fur Gilet","rabbit-fur-gilet","","7076","This is a Rabbit Fur Gilet made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","14","2023-03-15 14:35:30","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/Rectangle-12-6.png ! alt :  ! title : Rectangle 12 (6) ! desc :  ! caption : ","","https://reanaldobelle.com/product/rabbit-fur-gilet/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Race Leather Jacket","race-leather-jacket","","7063","This is a Race Leather Jacket made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","15","2023-03-15 14:22:52","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/Rectangle-12-5.png ! alt :  ! title : Rectangle 12 (5) ! desc :  ! caption : ","","https://reanaldobelle.com/product/race-leather-jacket/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"Mesh Bomber Jacket","mesh-bomber-jacket","","7038","This is a Mesh bomber jacket made from real lambskin treated and dyed ethically and real sheep skin collar.","","publish","","16","2023-03-15 14:04:44","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-5_011.jpg ! alt :  ! title : SHOT 5_011 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-5_059.jpg ! alt :  ! title : SHOT 5_059 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-5_072.jpg ! alt :  ! title : SHOT 5_072 ! desc :  ! caption : ","","https://reanaldobelle.com/product/mesh-bomber-jacket/","0","","","","","","","","","simple","","Bespoke","","","","","",""
"“Window” Bomber Jacket","window-bomber-jacket","","7024","<div>This is a window Bomber is made from real lambskin treated and dyed ethically and real sheep skin collar.</div>","","publish","","17","2023-03-15 13:53:00","1","open","","","","no","no","","","","","","","","","","instock","no","no","","no","taxable","","","","","","-1","-1","","","https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-3_028.jpg ! alt :  ! title : SHOT 3_028 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-3_057.jpg ! alt :  ! title : SHOT 3_057 ! desc :  ! caption :  | https://reanaldobelle.com/wp-content/uploads/2023/01/SHOT-3_031.jpg ! alt :  ! title : SHOT 3_031 ! desc :  ! caption : ","","https://reanaldobelle.com/product/window-bomber-jacket/","0","","","","","","","","","simple","","Bespoke","","","","","",""
